,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph),Maximum Temperature (F)
0,abu zabad,SD,1629358217,14.2,24.6667,96,50,,3.61,81.734
1,sao joao da barra,AU,1629358217,-14.25,129.55,0,58,,4.77,81.46400000000003
2,north bend,IN,1629358217,25.5198,90.2201,100,95,,3.35,75.52400000000002
3,albany,KZ,1629358477,54.9056,70.4439,100,36,,2.17,79.08800000000005
4,hermanus,NZ,1629358218,-46.1927,168.8643,100,96,,3.23,44.74399999999997
5,tiksi,CA,1629358210,53.4001,-117.5857,100,81,,1.57,63.37400000000001
6,taolanaro,GL,1629358478,65.6145,-37.6368,100,89,,1.2,41.432000000000016
7,butaritari,RU,1629358478,55.1153,83.9059,32,60,,5.02,70.06999999999996
8,castro,CK,1629358220,-21.2078,-159.775,5,83,,6.69,71.924
9,ushuaia,AR,1629358089,-54.8,-68.3,40,74,,7.72,30.127999999999965
10,vaini,CL,1629358210,-53.15,-70.9167,75,55,,5.66,32.377999999999965
11,azimur,AR,1629358200,-38.0023,-57.5575,75,100,,2.57,48.48800000000004
12,tasiilaq,US,1629358163,19.7297,-155.09,40,87,,0,76.06400000000004
13,arraial do cabo,BR,1629358222,-10.4056,-36.4344,64,87,,5.35,72.62599999999999
14,bedele,CA,1629358222,70.4692,-68.5914,100,96,,2.4,38.87599999999999
15,la ronge,ZA,1629358223,-34.5322,20.0403,99,87,,2.06,51.38599999999997
16,sabang,CN,1629358223,30.0145,118.4037,50,65,,0.57,86.342
17,bethel,NO,1629358224,63.1115,7.732,75,87,,5.66,53.924000000000014
18,togur,,,,,,,,,
19,nabire,CA,1629358224,47.1666,-55.1483,96,95,,4.74,63.01400000000004
20,trenggalek,MX,1629358225,27.2333,-100.15,78,66,,8.71,82.83200000000002
21,lebu,RU,1629358225,63.9333,31.65,83,64,,6.99,63.53599999999997
22,busselton,AU,1629358226,-20.1,146.2667,0,29,,3.1,69.63800000000005
23,bluff,US,1629358226,34.7392,-112.0099,0,92,,0.45,74.03000000000004
24,ponta do sol,IN,1629358227,11.6667,92.75,44,70,,5.21,85.06400000000004
25,husavik,,,,,,,,,
26,cape town,AU,1629358228,-24.8667,113.6333,1,66,,4.12,71.94200000000001
27,corinth,US,1629358228,48.4111,-114.3376,1,89,,0,50.01799999999999
28,rikitea,AU,1629358229,-42.7826,147.0587,94,64,,1.24,55.16600000000001
29,matveyevka,,,,,,,,,
30,mar del plata,CL,1629358230,-41.8697,-73.8203,100,83,,5.48,42.69199999999999
31,airai,NZ,1629358231,-46.6,168.3333,100,89,,3.93,45.067999999999984
