City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity,Maximum Temperature (F),Wind Speed (mph)
mataura,NZ,1629350883,-46.1927,168.8643,100,84,46.742,3.35
rikitea,PF,1629350590,-23.1203,-134.9692,100,69,69.746,9.8
sitka,US,1629350953,57.0531,-135.33,90,82,57.362,3.09
barentsburg,,,,,,,,
busselton,AU,1629350877,-33.65,115.3333,93,79,60.314,4.47
bluff,NZ,1629350910,-46.6,168.3333,94,79,47.066,12.83
atuona,PF,1629350991,-9.8,-139.0333,11,78,77.792,8.13
san joaquin,US,1629351140,37.9333,-121.3011,90,53,72.554,3.6
zhuhai,CN,1629351141,22.2769,113.5678,20,79,91.058,3.09
hithadhoo,MV,1629350874,-0.6,73.0833,32,70,82.274,2.74
tsihombe,,,,,,,,
warqla,,,,,,,,
vaini,TO,1629350871,-21.2,-175.2,75,100,73.832,3.6
attawapiskat,,,,,,,,
saint-pierre,RE,1629351012,-21.3393,55.4781,0,62,75.56,0
tiksi,RU,1629350975,71.6872,128.8694,100,81,55.49,5.03
port elizabeth,ZA,1629350815,-33.918,25.5701,90,94,54.158,2.57
yertsevo,RU,1629351143,60.7966,40.086,96,82,64.598,2.85
avarua,CK,1629350862,-21.2078,-159.775,49,64,73.724,8.23
tarrega,ES,1629351144,41.647,1.1396,27,87,68.018,0.16
cape town,ZA,1629350839,-33.9258,18.4232,75,73,55.148,0.89
moron,AR,1629351057,-34.6534,-58.6198,100,96,57.272,1.34
yilan,TW,1629351144,24.757,121.753,89,64,93.326,1.85
kosonsoy,UZ,1629351145,41.2561,71.5508,0,14,74.228,3.81
portland,US,1629350918,45.5234,-122.6762,20,63,71.852,1.34
lompoc,US,1629350891,34.6391,-120.4579,90,79,67.838,1.54
safford,US,1629351146,32.834,-109.7076,1,94,73.796,0
carnarvon,AU,1629350882,-24.8667,113.6333,0,63,75.542,4.63
noyabrsk,RU,1629351146,63.1994,75.4507,30,51,56.426,6.57
tawnat,,,,,,,,
grindavik,IS,1629351147,63.8424,-22.4338,90,100,54.338,3.6
taoudenni,ML,1629351004,22.6783,-3.9836,79,31,93.056,3.3
hobart,AU,1629350917,-42.8794,147.3294,40,63,58.532,0.45
yellowknife,CA,1629350906,62.456,-114.3525,75,88,57.992,3.09
souillac,MU,1629350903,-20.5167,57.5167,20,64,75.848,7.72
arraial do cabo,BR,1629350884,-22.9661,-42.0278,1,87,70.52,12.42
dunedin,NZ,1629350814,-45.8742,170.5036,82,63,53.258,4.88
dikson,RU,1629350891,73.5069,80.5464,100,87,40.532,3.17
pontianak,ID,1629351149,-0.0333,109.3333,75,66,88.052,2.06
albany,US,1629350885,42.6001,-73.9662,99,92,74.588,2.95
cabo san lucas,MX,1629350915,22.8909,-109.9124,89,77,84.884,0.45
nanortalik,GL,1629350946,60.1432,-45.2371,100,89,48.38,3.54
georgetown,MY,1629350889,5.4112,100.3354,40,78,82.616,1.54
ligayan,PH,1629351150,4.6533,119.4706,66,70,83.624,1.99
ushuaia,AR,1629350875,-54.8,-68.3,75,74,30.128,6.17
punta arenas,CL,1629350883,-53.15,-70.9167,75,64,34.178,7.72
umm kaddadah,SD,1629351151,13.6017,26.6876,94,68,81.248,6.18
homer,US,1629350966,59.6425,-151.5483,1,80,61.358,2.06
tiznit,MA,1629351152,29.5833,-9.5,0,49,70.772,0.67
mahaicony,,,,,,,,
kruisfontein,ZA,1629351019,-34.0033,24.7314,98,85,51.152,6.24
sola,VU,1629351153,-13.8833,167.55,19,78,80.114,7.19
vaitupu,,,,,,,,
cabinda,AO,1629351154,-5.55,12.2,71,90,72.824,2.66
port-gentil,GA,1629351119,-0.7193,8.7815,40,94,75.434,3.09
provideniya,RU,1629350971,64.3833,-173.3,90,75,43.178,6
santa rosa,PH,1629351032,14.3122,121.1114,97,62,90.374,1.63
thompson,CA,1629350967,55.7435,-97.8558,75,93,43.232,0
castro,BR,1629351011,-24.7911,-50.0119,1,66,60.098,1.7
ahipara,NZ,1629351045,-35.1667,173.1667,42,69,53.69,3.96
saleaula,,,,,,,,
krasnorechenskiy,RU,1629351156,44.6265,135.3532,29,52,77.882,2.83
mormugao,IN,1629351156,15.4,73.8,75,83,81.932,5.14
dembi dolo,ET,1629351157,8.5333,34.8,100,95,57.974,1.16
kodiak,US,1629350638,57.79,-152.4072,99,89,55.526,1.97
kysyl-syr,RU,1629351074,63.8986,122.7617,87,74,62.51,1.8
kokkola,FI,1629351157,63.8385,23.1307,90,88,56.768,6.69
strezhevoy,RU,1629351158,60.7333,77.5889,76,51,61.052,3.4
