,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Maximum Temperature (F),Wind Speed (mph)
0,mataura,NZ,1629350883.0,-46.1927,168.8643,100.0,84.0,46.742,3.35
1,rikitea,PF,1629350590.0,-23.1203,-134.9692,100.0,69.0,69.74600000000005,9.8
2,sitka,US,1629350953.0,57.0531,-135.33,90.0,82.0,57.36199999999995,3.09
3,barentsburg,,,,,,,,
4,busselton,AU,1629350877.0,-33.65,115.3333,93.0,79.0,60.314000000000036,4.47
5,bluff,NZ,1629350910.0,-46.6,168.3333,94.0,79.0,47.06600000000001,12.83
6,atuona,PF,1629350991.0,-9.8,-139.0333,11.0,78.0,77.792,8.13
7,san joaquin,US,1629351140.0,37.9333,-121.3011,90.0,53.0,72.55399999999996,3.6
8,zhuhai,CN,1629351141.0,22.2769,113.5678,20.0,79.0,91.05799999999999,3.09
9,hithadhoo,MV,1629350874.0,-0.6,73.0833,32.0,70.0,82.27400000000002,2.74
10,tsihombe,,,,,,,,
11,warqla,,,,,,,,
12,vaini,TO,1629350871.0,-21.2,-175.2,75.0,100.0,73.83200000000002,3.6
13,attawapiskat,,,,,,,,
14,saint-pierre,RE,1629351012.0,-21.3393,55.4781,0.0,62.0,75.55999999999997,0.0
15,tiksi,RU,1629350975.0,71.6872,128.8694,100.0,81.0,55.490000000000016,5.03
16,port elizabeth,ZA,1629350815.0,-33.918,25.5701,90.0,94.0,54.158,2.57
17,yertsevo,RU,1629351143.0,60.7966,40.086,96.0,82.0,64.59800000000003,2.85
18,avarua,CK,1629350862.0,-21.2078,-159.775,49.0,64.0,73.72400000000002,8.23
19,tarrega,ES,1629351144.0,41.647,1.1396,27.0,87.0,68.01799999999999,0.16
20,cape town,ZA,1629350839.0,-33.9258,18.4232,75.0,73.0,55.14800000000002,0.89
21,moron,AR,1629351057.0,-34.6534,-58.6198,100.0,96.0,57.27200000000003,1.34
22,yilan,TW,1629351144.0,24.756999999999998,121.75299999999999,89.0,64.0,93.32600000000001,1.85
23,kosonsoy,UZ,1629351145.0,41.2561,71.5508,0.0,14.0,74.22799999999997,3.81
24,portland,US,1629350918.0,45.5234,-122.6762,20.0,63.0,71.85199999999998,1.34
25,lompoc,US,1629350891.0,34.6391,-120.4579,90.0,79.0,67.83800000000005,1.54
26,safford,US,1629351146.0,32.834,-109.7076,1.0,94.0,73.79600000000005,0.0
27,carnarvon,AU,1629350882.0,-24.8667,113.6333,0.0,63.0,75.542,4.63
28,noyabrsk,RU,1629351146.0,63.1994,75.4507,30.0,51.0,56.42599999999999,6.57
29,tawnat,,,,,,,,
30,grindavik,IS,1629351147.0,63.8424,-22.4338,90.0,100.0,54.33800000000005,3.6
31,taoudenni,ML,1629351004.0,22.6783,-3.9836,79.0,31.0,93.05600000000004,3.3
32,hobart,AU,1629350917.0,-42.8794,147.3294,40.0,63.0,58.53200000000002,0.45
33,yellowknife,CA,1629350906.0,62.456,-114.3525,75.0,88.0,57.992,3.09
34,souillac,MU,1629350903.0,-20.5167,57.5167,20.0,64.0,75.84800000000003,7.72
35,arraial do cabo,BR,1629350884.0,-22.9661,-42.0278,1.0,87.0,70.51999999999995,12.42
36,dunedin,NZ,1629350814.0,-45.8742,170.5036,82.0,63.0,53.25800000000001,4.88
37,dikson,RU,1629350891.0,73.5069,80.5464,100.0,87.0,40.532000000000025,3.17
38,pontianak,ID,1629351149.0,-0.0333,109.3333,75.0,66.0,88.05199999999998,2.06
39,albany,US,1629350885.0,42.6001,-73.9662,99.0,92.0,74.58800000000005,2.95
40,cabo san lucas,MX,1629350915.0,22.8909,-109.9124,89.0,77.0,84.88399999999999,0.45
41,nanortalik,GL,1629350946.0,60.1432,-45.2371,100.0,89.0,48.38000000000004,3.54
42,georgetown,MY,1629350889.0,5.4112,100.3354,40.0,78.0,82.61600000000001,1.54
43,ligayan,PH,1629351150.0,4.6533,119.4706,66.0,70.0,83.62400000000002,1.99
44,ushuaia,AR,1629350875.0,-54.8,-68.3,75.0,74.0,30.127999999999968,6.17
45,punta arenas,CL,1629350883.0,-53.15,-70.9167,75.0,64.0,34.17799999999996,7.72
46,umm kaddadah,SD,1629351151.0,13.6017,26.6876,94.0,68.0,81.24800000000002,6.18
47,homer,US,1629350966.0,59.6425,-151.5483,1.0,80.0,61.358,2.06
48,tiznit,MA,1629351152.0,29.5833,-9.5,0.0,49.0,70.77200000000005,0.67
49,mahaicony,,,,,,,,
50,kruisfontein,ZA,1629351019.0,-34.0033,24.7314,98.0,85.0,51.15199999999997,6.24
51,sola,VU,1629351153.0,-13.8833,167.55,19.0,78.0,80.11400000000003,7.19
52,vaitupu,,,,,,,,
53,cabinda,AO,1629351154.0,-5.55,12.2,71.0,90.0,72.82400000000001,2.66
54,port-gentil,GA,1629351119.0,-0.7193,8.7815,40.0,94.0,75.434,3.09
55,provideniya,RU,1629350971.0,64.3833,-173.3,90.0,75.0,43.17799999999996,6.0
56,santa rosa,PH,1629351032.0,14.3122,121.1114,97.0,62.0,90.37400000000002,1.63
57,thompson,CA,1629350967.0,55.7435,-97.8558,75.0,93.0,43.232000000000006,0.0
58,castro,BR,1629351011.0,-24.7911,-50.0119,1.0,66.0,60.09800000000003,1.7
59,ahipara,NZ,1629351045.0,-35.1667,173.1667,42.0,69.0,53.69000000000002,3.96
60,saleaula,,,,,,,,
61,krasnorechenskiy,RU,1629351156.0,44.6265,135.3532,29.0,52.0,77.88200000000002,2.83
